,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0.1,0.217778938172805,0.156155754719468,0.109976614459299,,,,
0.2,0.189065547724017,0.136846514358348,0.0985655372527165,,,,
0.3,,,,,,,
0.4,0.0714974738624961,,,,,,
0.5,0.0483317108075171,,,,,,
0.6,0.051427574878784,0.0322431407868311,,,,,
0.7,,0.0224504668948887,,,,,
0.8,0.015253112645501,0.00388224176310131,0.000801039555804804,,,,
